date,year,month,month_name,quarter,day,weekday,weekday_name,is_weekend,period
2026-06-01,2026,6,June,2,1,1,Monday,False,2026-06
2026-06-02,2026,6,June,2,2,2,Tuesday,False,2026-06
2026-06-03,2026,6,June,2,3,3,Wednesday,False,2026-06
2026-06-04,2026,6,June,2,4,4,Thursday,False,2026-06
2026-06-05,2026,6,June,2,5,5,Friday,False,2026-06
2026-06-06,2026,6,June,2,6,6,Saturday,True,2026-06
2026-06-07,2026,6,June,2,7,7,Sunday,True,2026-06
2026-06-08,2026,6,June,2,8,1,Monday,False,2026-06
2026-06-09,2026,6,June,2,9,2,Tuesday,False,2026-06
2026-06-10,2026,6,June,2,10,3,Wednesday,False,2026-06
2026-06-11,2026,6,June,2,11,4,Thursday,False,2026-06
2026-06-12,2026,6,June,2,12,5,Friday,False,2026-06
2026-06-13,2026,6,June,2,13,6,Saturday,True,2026-06
2026-06-14,2026,6,June,2,14,7,Sunday,True,2026-06
2026-06-15,2026,6,June,2,15,1,Monday,False,2026-06
2026-06-16,2026,6,June,2,16,2,Tuesday,False,2026-06
2026-06-17,2026,6,June,2,17,3,Wednesday,False,2026-06
2026-06-18,2026,6,June,2,18,4,Thursday,False,2026-06
2026-06-19,2026,6,June,2,19,5,Friday,False,2026-06
2026-06-20,2026,6,June,2,20,6,Saturday,True,2026-06
2026-06-21,2026,6,June,2,21,7,Sunday,True,2026-06
2026-06-22,2026,6,June,2,22,1,Monday,False,2026-06
2026-06-23,2026,6,June,2,23,2,Tuesday,False,2026-06
2026-06-24,2026,6,June,2,24,3,Wednesday,False,2026-06
2026-06-25,2026,6,June,2,25,4,Thursday,False,2026-06
